original_name,aws_region,aws_sub_region,display_name,search_method
Aceh,"",Aceh,"Aceh, Sumatera, Indonesia",""
Bali,"",Bali,"Bali, Nusa Tenggara, Indonesia",""
Banten,JABODETABEK,Banten,"Banten, Jawa, Indonesia",""
Bengkulu,"",Bengkulu,"Bengkulu, Sumatera, Indonesia",""
DKI Jakarta,JABODETABEK,DKI Jakarta,"Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
Daerah Istimewa Yogyakarta,"",Daerah Istimewa Yogyakarta,"Daerah Istimewa Yogyakarta, Jawa, Indonesia",""
Gorontalo,"",Gorontalo,"Gorontalo, Sulawesi, Indonesia",""
Jambi,"",Jambi,"Jambi, Sumatera, Indonesia",""
Jawa Barat,"",Jawa Barat,"Jawa Barat, Jawa, Indonesia",""
Jawa Tengah,"",Jawa Tengah,"Jawa Tengah, Jawa, Indonesia",""
Jawa Timur,"",Jawa Timur,"Jawa Timur, Jawa, Indonesia",""
Kalimantan Barat,"",Kalimantan Barat,"Kalimantan Barat, Indonesia",""
Kalimantan Selatan,"",Kalimantan Selatan,"Kalimantan Selatan, Indonesia",""
Kalimantan Tengah,"",Kalimantan Tengah,"Kalimantan Tengah, Indonesia",""
Kalimantan Timur,"",Kalimantan Timur,"Kalimantan Timur, Indonesia",""
Kalimantan Utara,"",Kalimantan Utara,"Kalimantan Utara, Indonesia",""
Kepulauan Bangka Belitung,"",Kepulauan Bangka Belitung,"Kepulauan Bangka Belitung, Sumatera, Indonesia",""
Kepulauan Riau,"",Kepulauan Riau,"Kepulauan Riau, Sumatera, Indonesia",""
Lampung,"",Lampung,"Lampung, Sumatera, Indonesia",""
Maluku,"",Maluku,"Kepulauan Maluku, Maluku, Indonesia",""
Maluku Utara,"",Maluku Utara,"Maluku Utara, Maluku, Indonesia",""
Nusa Tenggara Barat,"",Nusa Tenggara Barat,"Nusa Tenggara Barat, Nusa Tenggara, Indonesia",""
Nusa Tenggara Timur,"",Nusa Tenggara Timur,"Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
Papua,"",Papua,"Papua, Western New Guinea, Indonesia",""
Papua Barat,"",Papua Barat,"Papua Barat, Western New Guinea, Indonesia",""
Papua Barat Daya,"",Papua Barat Daya,"Papua Barat Daya, Western New Guinea, Indonesia",""
Papua Pegunungan,"",Papua Pegunungan,"Papua Pegunungan, Western New Guinea, Indonesia",""
Papua Selatan,"",Papua Selatan,"Papua Selatan, Western New Guinea, Indonesia",""
Papua Tengah,"",Papua Tengah,"Papua Tengah, Western New Guinea, Indonesia",""
Riau,"",Riau,"Riau, Sumatera, Indonesia",""
Sulawesi Barat,"",Sulawesi Barat,"Sulawesi Barat, Sulawesi, Indonesia",""
Sulawesi Selatan,"",Sulawesi Selatan,"Sulawesi Selatan, Sulawesi, Indonesia",""
Sulawesi Tengah,"",Sulawesi Tengah,"Sulawesi Tengah, Sulawesi, Indonesia",""
Sulawesi Tenggara,"",Sulawesi Tenggara,"Sulawesi Tenggara, Sulawesi, Indonesia",""
Sulawesi Utara,"",Sulawesi Utara,"Sulawesi Utara, Sulawesi, Indonesia",""
Sumatera Barat,"",Sumatera Barat,"Sumatera Barat, Sumatera, Indonesia",""
Sumatera Selatan,"",Sumatera Selatan,"Sumatera Selatan, Sumatera, Indonesia",""
Sumatera Utara,"",Sumatera Utara,"Sumatera Utara, Sumatera, Indonesia",""
